skill,cluster
58,1
34,1
56,1
91,7
42,2
108,2
46,2
68,2
112,2
38,7
49,7
7,1
72,2
86,1
54,6
19,2
30,2
85,2
114,1
15,7
26,7
87,2
36,2
47,2
37,1
8,4
66,0
32,7
104,2
115,2
53,2
119,2
45,7
111,7
11,2
121,2
113,7
81,2
18,7
62,7
55,1
117,7
22,7
77,7
17,2
28,2
83,2
57,1
96,5
98,2
13,7
6,1
39,7
5,2
92,7
60,2
74,1
50,1
107,7
10,1
73,2
102,1
3,7
69,7
51,1
61,3
43,6
24,2
35,2
90,2
101,2
64,1
40,1
20,7
31,7
41,2
52,2
75,4
118,2
33,7
1,2
88,7
79,4
109,2
120,2
14,2
80,2
94,1
116,7
65,7
16,2
82,2
97,2
100,1
23,7
67,7
78,7
93,7
44,2
99,2
48,2
71,4
103,2
95,7
106,7
110,7
59,5
105,2
9,4
0,1
76,2
2,7
63,2
12,2
89,2
4,7
70,7
27,2
25,2
29,2
84,2
21,7
