skill,cluster
106,20
64,14
7,26
17,3
28,3
83,3
2,48
88,54
100,19
118,3
75,8
49,62
58,49
18,10
67,6
80,3
15,32
56,12
54,24
82,40
97,40
105,47
1,44
66,0
95,45
24,3
35,3
90,3
103,3
62,60
71,8
110,54
25,38
111,7
86,17
114,33
76,3
41,3
52,3
43,9
26,57
51,22
45,46
79,23
113,25
109,3
120,3
91,61
14,3
94,2
77,25
21,36
16,3
50,35
0,34
39,16
30,56
107,7
112,3
99,3
6,58
116,28
72,3
48,3
74,31
69,7
84,53
117,50
47,40
61,39
73,59
53,1
63,3
20,7
12,3
89,3
27,3
32,54
81,38
98,63
33,7
96,29
29,3
119,3
40,30
38,42
42,3
121,3
108,3
46,3
68,3
22,54
57,21
92,52
5,56
70,3
78,25
13,54
19,3
65,55
85,3
9,11
93,25
102,37
3,43
4,42
87,3
44,41
60,3
23,18
36,3
8,51
59,5
34,15
104,3
115,3
37,13
55,27
10,4
11,3
101,3
31,54
